z_center	theta_center	count	angle_type
-68.217385	1.865770	0	theta2
-68.217385	5.462700	0	theta2
-68.217385	9.059630	0	theta2
-68.217385	12.656560	0	theta2
-68.217385	16.253490	1	theta2
-68.217385	19.850420	0	theta2
-68.217385	23.447350	0	theta2
-68.217385	27.044280	0	theta2
-68.217385	30.641210	0	theta2
-68.217385	34.238140	0	theta2
-68.217385	37.835070	1	theta2
-68.217385	41.432000	1	theta2
-68.217385	45.028930	0	theta2
-68.217385	48.625860	0	theta2
-68.217385	52.222790	1	theta2
-68.217385	55.819720	0	theta2
-68.217385	59.416650	1	theta2
-68.217385	63.013580	0	theta2
-68.217385	66.610511	3	theta2
-68.217385	70.207441	3	theta2
-68.217385	73.804371	2	theta2
-68.217385	77.401301	2	theta2
-68.217385	80.998231	2	theta2
-68.217385	84.595161	2	theta2
-68.217385	88.192091	1	theta2
-68.217385	91.789021	0	theta2
-68.217385	95.385951	1	theta2
-68.217385	98.982881	2	theta2
-68.217385	102.579811	1	theta2
-68.217385	106.176741	1	theta2
-68.217385	109.773671	0	theta2
-68.217385	113.370601	0	theta2
-68.217385	116.967531	3	theta2
-68.217385	120.564461	0	theta2
-68.217385	124.161391	0	theta2
-68.217385	127.758321	1	theta2
-68.217385	131.355251	0	theta2
-68.217385	134.952181	0	theta2
-68.217385	138.549111	0	theta2
-68.217385	142.146041	0	theta2
-68.217385	145.742971	0	theta2
-68.217385	149.339901	0	theta2
-68.217385	152.936831	0	theta2
-68.217385	156.533761	0	theta2
-68.217385	160.130691	0	theta2
-68.217385	163.727621	0	theta2
-68.217385	167.324551	0	theta2
-68.217385	170.921481	0	theta2
-68.217385	174.518411	0	theta2
-68.217385	178.115341	0	theta2
-65.358423	1.865770	0	theta2
-65.358423	5.462700	0	theta2
-65.358423	9.059630	1	theta2
-65.358423	12.656560	1	theta2
-65.358423	16.253490	1	theta2
-65.358423	19.850420	4	theta2
-65.358423	23.447350	5	theta2
-65.358423	27.044280	4	theta2
-65.358423	30.641210	7	theta2
-65.358423	34.238140	8	theta2
-65.358423	37.835070	6	theta2
-65.358423	41.432000	5	theta2
-65.358423	45.028930	8	theta2
-65.358423	48.625860	5	theta2
-65.358423	52.222790	10	theta2
-65.358423	55.819720	16	theta2
-65.358423	59.416650	15	theta2
-65.358423	63.013580	7	theta2
-65.358423	66.610511	9	theta2
-65.358423	70.207441	10	theta2
-65.358423	73.804371	9	theta2
-65.358423	77.401301	11	theta2
-65.358423	80.998231	16	theta2
-65.358423	84.595161	16	theta2
-65.358423	88.192091	18	theta2
-65.358423	91.789021	15	theta2
-65.358423	95.385951	11	theta2
-65.358423	98.982881	6	theta2
-65.358423	102.579811	9	theta2
-65.358423	106.176741	12	theta2
-65.358423	109.773671	4	theta2
-65.358423	113.370601	7	theta2
-65.358423	116.967531	4	theta2
